location a name,location b name,location a radius,location b radius,location a airports,location b airports,flights,location a coordinates,location b coordinates,19901,19902,19903,19904,19905,19906,19907,19908,19909,19911,19912,19913,19914,19915,19916,19917,19918,19919,19921,19922,19923,19924,19925,19926,19927,19928,19929,19931,19932,19933,19934,19935,19936,19937,19938,19939,19941,19942,19943,19944,19945,19946,19947,19948,19949,19951,19952,19953,19954,19955,19956,19957,19958,19959,19961,19962,19963,19964,19965,19966,19967,19968,19969,19971,19972,19973,19974,19975,19976,19977,19978,19979,19981,19982,19983,19984,19985,19986,19987,19988,19989,19991,19992,19993,19994,19995,19996,19997,19998,19999,20001,20002,20003,20004,20005,20006,20007,20008,20009,20011,20012,20013,20014,20015,20016,20017,20018,20019,20021,20022,20023,20024,20025,20026,20027,20028,20029,20031,20032,20033,20034,20035,20036,20037,20038,20039,20041,20042,20043,20044,20045,20046,20047,20048,20049,20051,20052,20053,20054,20055,20056,20057,20058,20059,20061,20062,20063,20064,20065,20066,20067,20068,20069,20071,20072,20073,20074,20075,20076,20077,20078,20079,20081,20082,20083,20084,20085,20086,20087,20088,20089,20091,20092,20093,20094,20095,20096,20097,20098,20099,20101,20102,20103,20104,20105,20106,20107,20108,20109,20111,20112,20113,20114,20115,20116,20117,20118,20119,20121,20122,20123,20124,20125,20126,20127,20128,20129,20131,20132,20133,20134,20135,20136,20137,20138,20139,20141,20142,20143,20144,20145,20146,20147,20148,20149,20151,20152,20153,20154,20155,20156,20157,20158,20159,20161,20162,20163,20164,20165,20166,20167,20168,20169,20171,20172,20173,20174,20175,20176,20177,20178,20179,20181,20182,20183,20184,20185,20186,20187,20188
golden gate bridge,the louvre,100,100,JCC; NUQ; APC; CCR; SFO; OAK; HWD; HAF; NOT; STS; SJC; SQL; UXK; LVK; SUU,ORY; CDG; EVX; BVA; LBG,SFO-CDG; OAK-LBG; OAK-CDG; OAK-ORY; SJC-LBG; SJC-ORY; SFO-LBG; SFO-ORY; SJC-CDG,"(37.8199, -122.4783)","(48.8606, 2.3376)",1,1,1,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,1,2,2,3,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,3,2,2,2
