ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
CJS,"Ciudad Juarez, Mexico",ELP,11
CJS,"Ciudad Juarez, Mexico",ELP,8
ELP,"El Paso, TX",CJS,11
RCE,"Roche Harbor, WA",YYJ,8
YWH,"Victoria, Canada",RCE,2
RCE,"Roche Harbor, WA",YWH,8
TIJ,"Tijuana, Mexico",SAN,8
FRD,"Friday Harbor, WA",YWH,6
FRD,"Friday Harbor, WA",YWH,1
YWH,"Victoria, Canada",FRD,3
FRD,"Friday Harbor, WA",YWH,4
YWH,"Victoria, Canada",FRD,10
YYJ,"Victoria, Canada",FRD,8
LPS,"Lopez Island, WA",YWH,8
STT,"Charlotte Amalie, VI",EIS,1
EIS,"Road Town, British Virgin Islands",STT,1
WSX,"Westsound, WA",YWH,1
STT,"Charlotte Amalie, VI",EIS,2
WSX,"Westsound, WA",YWH,2
STT,"Charlotte Amalie, VI",EIS,3
RSJ,"Rosario, WA",YWH,3
STT,"Charlotte Amalie, VI",EIS,4
EIS,"Road Town, British Virgin Islands",STT,4
RSJ,"Rosario, WA",YWH,4
STT,"Charlotte Amalie, VI",EIS,5
STT,"Charlotte Amalie, VI",EIS,6
STT,"Charlotte Amalie, VI",EIS,7
STT,"Charlotte Amalie, VI",EIS,8
WSX,"Westsound, WA",YWH,8
STT,"Charlotte Amalie, VI",EIS,9
STT,"Charlotte Amalie, VI",EIS,11
YQG,"Windsor, Canada",YIP,3
YIP,"Detroit, MI",YQG,4
YQG,"Windsor, Canada",YIP,4
YIP,"Detroit, MI",YQG,5
YQG,"Windsor, Canada",YIP,5
YQG,"Windsor, Canada",YIP,6
YIP,"Detroit, MI",YQG,8
YQG,"Windsor, Canada",YIP,8
YQG,"Windsor, Canada",YIP,11
YIP,"Detroit, MI",YQG,12
YQG,"Windsor, Canada",YIP,12
YQG,"Windsor, Canada",PTK,5
YQG,"Windsor, Canada",PTK,12
YVR,"Vancouver, Canada",BLI,4
YVR,"Vancouver, Canada",BLI,12
BLI,"Bellingham, WA",YVR,3
YVR,"Vancouver, Canada",BLI,3
YVR,"Vancouver, Canada",BLI,9
BLI,"Bellingham, WA",YYJ,3
YYJ,"Victoria, Canada",BLI,3
ODW,"Oak Harbor, WA",YYJ,8
WSX,"Westsound, WA",CXH,6
FRD,"Friday Harbor, WA",YCD,8
CXH,"Vancouver, Canada",FRD,8
STX,"Christiansted, VI",EIS,1
CXH,"Vancouver, Canada",FRD,6
STX,"Christiansted, VI",EIS,12
FRD,"Friday Harbor, WA",ZNA,8
ZNA,"Nanaimo, Canada",FRD,8
BIM,"Bimini, The Bahamas",FLL,3
FLL,"Fort Lauderdale, FL",BIM,3
BIM,"Bimini, The Bahamas",FLL,1
FLL,"Fort Lauderdale, FL",BIM,1
BIM,"Bimini, The Bahamas",FLL,2
FLL,"Fort Lauderdale, FL",BIM,2
BIM,"Bimini, The Bahamas",FLL,4
FLL,"Fort Lauderdale, FL",BIM,4
BIM,"Bimini, The Bahamas",FLL,5
FLL,"Fort Lauderdale, FL",BIM,5
BIM,"Bimini, The Bahamas",FLL,6
FLL,"Fort Lauderdale, FL",BIM,6
BIM,"Bimini, The Bahamas",FLL,7
FLL,"Fort Lauderdale, FL",BIM,7
BIM,"Bimini, The Bahamas",FLL,8
FLL,"Fort Lauderdale, FL",BIM,8
BIM,"Bimini, The Bahamas",FLL,9
FLL,"Fort Lauderdale, FL",BIM,9
BIM,"Bimini, The Bahamas",FLL,11
FLL,"Fort Lauderdale, FL",BIM,11
BIM,"Bimini, The Bahamas",FLL,12
FLL,"Fort Lauderdale, FL",BIM,12
BUF,"Buffalo, NY",YHM,8
BUF,"Buffalo, NY",YHM,6
BUF,"Buffalo, NY",YHM,10
YHM,"Hamilton, Canada",BUF,7
BUF,"Buffalo, NY",YHM,1
YCD,"Nanaimo, Canada",CLM,2
CLM,"Port Angeles, WA",YCD,3
YYZ,"Toronto, Canada",BUF,2
BUF,"Buffalo, NY",YYZ,3
