ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
ELP,"El Paso, TX",CJS,8
CJS,"Ciudad Juarez, Mexico",ELP,9
ELP,"El Paso, TX",CJS,11
CJS,"Ciudad Juarez, Mexico",ELP,7
CJS,"Ciudad Juarez, Mexico",ELP,1
CJS,"Ciudad Juarez, Mexico",ELP,11
CJS,"Ciudad Juarez, Mexico",ELP,10
CJS,"Ciudad Juarez, Mexico",ELP,8
CJS,"Ciudad Juarez, Mexico",ELP,3
ELP,"El Paso, TX",CJS,2
ELP,"El Paso, TX",CJS,10
CJS,"Ciudad Juarez, Mexico",ELP,6
SAN,"San Diego, CA",TIJ,3
TIJ,"Tijuana, Mexico",SAN,4
FRD,"Friday Harbor, WA",YWH,7
FRD,"Friday Harbor, WA",YYJ,9
YYJ,"Victoria, Canada",FRD,2
FRD,"Friday Harbor, WA",YYJ,8
FRD,"Friday Harbor, WA",YYJ,7
YYJ,"Victoria, Canada",FRD,6
FRD,"Friday Harbor, WA",YYJ,11
YYJ,"Victoria, Canada",FRD,11
YYJ,"Victoria, Canada",FRD,7
FRD,"Friday Harbor, WA",YYJ,6
YYJ,"Victoria, Canada",FRD,9
YQG,"Windsor, Canada",YIP,9
EIS,"Road Town, British Virgin Islands",STT,8
STT,"Charlotte Amalie, VI",EIS,5
YQG,"Windsor, Canada",YIP,7
EIS,"Road Town, British Virgin Islands",STT,2
STT,"Charlotte Amalie, VI",EIS,4
YIP,"Detroit, MI",YQG,4
EIS,"Road Town, British Virgin Islands",STT,11
YQG,"Windsor, Canada",YIP,12
YIP,"Detroit, MI",YQG,12
YQG,"Windsor, Canada",YIP,3
YIP,"Detroit, MI",YQG,5
YQG,"Windsor, Canada",YIP,8
YIP,"Detroit, MI",YQG,6
YIP,"Detroit, MI",YQG,9
STT,"Charlotte Amalie, VI",EIS,2
EIS,"Road Town, British Virgin Islands",STT,5
STT,"Charlotte Amalie, VI",EIS,1
EIS,"Road Town, British Virgin Islands",STT,1
YIP,"Detroit, MI",YQG,8
YIP,"Detroit, MI",YQG,7
STT,"Charlotte Amalie, VI",EIS,3
YIP,"Detroit, MI",YQG,10
YQG,"Windsor, Canada",YIP,11
YIP,"Detroit, MI",YQG,2
YQG,"Windsor, Canada",YIP,5
YQG,"Windsor, Canada",YIP,10
EIS,"Road Town, British Virgin Islands",STT,3
YQG,"Windsor, Canada",YIP,4
YIP,"Detroit, MI",YQG,1
YIP,"Detroit, MI",YQG,3
EIS,"Road Town, British Virgin Islands",STT,4
STT,"Charlotte Amalie, VI",EIS,12
YIP,"Detroit, MI",YQG,11
STT,"Charlotte Amalie, VI",VIJ,4
VIJ,"Virgin Gorda, British Virgin Islands",STT,9
VIJ,"Virgin Gorda, British Virgin Islands",STT,5
VIJ,"Virgin Gorda, British Virgin Islands",STT,2
STT,"Charlotte Amalie, VI",VIJ,9
VIJ,"Virgin Gorda, British Virgin Islands",STT,10
VIJ,"Virgin Gorda, British Virgin Islands",STT,11
STT,"Charlotte Amalie, VI",VIJ,7
VIJ,"Virgin Gorda, British Virgin Islands",STT,1
STT,"Charlotte Amalie, VI",VIJ,5
VIJ,"Virgin Gorda, British Virgin Islands",STT,4
STT,"Charlotte Amalie, VI",VIJ,6
STT,"Charlotte Amalie, VI",VIJ,1
STT,"Charlotte Amalie, VI",VIJ,10
VIJ,"Virgin Gorda, British Virgin Islands",STT,12
STT,"Charlotte Amalie, VI",VIJ,8
STT,"Charlotte Amalie, VI",VIJ,2
VIJ,"Virgin Gorda, British Virgin Islands",STT,3
VIJ,"Virgin Gorda, British Virgin Islands",STT,8
STT,"Charlotte Amalie, VI",VIJ,3
VIJ,"Virgin Gorda, British Virgin Islands",STT,6
VIJ,"Virgin Gorda, British Virgin Islands",STT,7
STT,"Charlotte Amalie, VI",VIJ,11
STT,"Charlotte Amalie, VI",VIJ,12
YYJ,"Victoria, Canada",BLI,11
YYJ,"Victoria, Canada",BLI,9
BLI,"Bellingham, WA",YYJ,4
YYJ,"Victoria, Canada",BLI,4
YYJ,"Victoria, Canada",BLI,12
YYJ,"Victoria, Canada",BLI,6
YYJ,"Victoria, Canada",BLI,10
BLI,"Bellingham, WA",YYJ,9
BLI,"Bellingham, WA",YYJ,7
BLI,"Bellingham, WA",YYJ,8
