ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
ELP,"El Paso, TX",CJS,11
CJS,"Ciudad Juarez, Mexico",ELP,4
CJS,"Ciudad Juarez, Mexico",ELP,5
CJS,"Ciudad Juarez, Mexico",ELP,11
YWH,"Victoria, Canada",RCE,8
RCE,"Roche Harbor, WA",YWH,7
RCE,"Roche Harbor, WA",YWH,8
YWH,"Victoria, Canada",FRD,7
FRD,"Friday Harbor, WA",YWH,7
FRD,"Friday Harbor, WA",YWH,8
YQG,"Windsor, Canada",DTW,3
YQG,"Windsor, Canada",DTW,1
YYJ,"Victoria, Canada",FRD,4
YYJ,"Victoria, Canada",FRD,9
DTW,"Detroit, MI",YQG,3
FRD,"Friday Harbor, WA",YYJ,4
YQG,"Windsor, Canada",DTW,9
DTW,"Detroit, MI",YQG,10
YQG,"Windsor, Canada",DTW,7
YQG,"Windsor, Canada",DTW,12
LPS,"Lopez Island, WA",YWH,5
DTW,"Detroit, MI",YQG,7
LPS,"Lopez Island, WA",YWH,8
CLM,"Port Angeles, WA",YWH,12
YIP,"Detroit, MI",YQG,1
YQG,"Windsor, Canada",YIP,2
EIS,"Road Town, British Virgin Islands",STT,3
STT,"Charlotte Amalie, VI",EIS,4
STT,"Charlotte Amalie, VI",EIS,3
YIP,"Detroit, MI",YQG,3
YIP,"Detroit, MI",YQG,6
YIP,"Detroit, MI",YQG,4
YIP,"Detroit, MI",YQG,5
YQG,"Windsor, Canada",YIP,3
YQG,"Windsor, Canada",YIP,4
YQG,"Windsor, Canada",YIP,6
YQG,"Windsor, Canada",YIP,1
YIP,"Detroit, MI",YQG,2
EIS,"Road Town, British Virgin Islands",STT,7
RSJ,"Rosario, WA",YWH,7
WSX,"Westsound, WA",YWH,7
RSJ,"Rosario, WA",YWH,8
STT,"Charlotte Amalie, VI",EIS,7
STT,"Charlotte Amalie, VI",EIS,8
WSX,"Westsound, WA",YWH,11
STT,"Charlotte Amalie, VI",EIS,11
STT,"Charlotte Amalie, VI",EIS,9
STT,"Charlotte Amalie, VI",EIS,10
STT,"Charlotte Amalie, VI",EIS,12
YQG,"Windsor, Canada",YIP,9
YIP,"Detroit, MI",YQG,7
YQG,"Windsor, Canada",YIP,7
YIP,"Detroit, MI",YQG,8
YQG,"Windsor, Canada",YIP,8
YQG,"Windsor, Canada",YIP,12
YIP,"Detroit, MI",YQG,12
NUW,"Whidbey Island, WA",YWH,9
YQG,"Windsor, Canada",PTK,6
YQG,"Windsor, Canada",PTK,12
YQG,"Windsor, Canada",PTK,1
YQG,"Windsor, Canada",PTK,8
PTK,"Pontiac, MI",YQG,12
PTK,"Pontiac, MI",YQG,2
PTK,"Pontiac, MI",YQG,9
YQG,"Windsor, Canada",PTK,3
YQG,"Windsor, Canada",PTK,2
ESD,"Eastsound, WA",YVR,8
YVR,"Vancouver, Canada",BLI,12
YVR,"Vancouver, Canada",BLI,8
BLI,"Bellingham, WA",YVR,12
YVR,"Vancouver, Canada",FRD,8
CXH,"Vancouver, Canada",RCE,8
RCE,"Roche Harbor, WA",ZNA,8
IAG,"Niagara Falls, NY",YYZ,8
YYZ,"Toronto, Canada",IAG,6
RCE,"Roche Harbor, WA",ZNA,9
IAG,"Niagara Falls, NY",YYZ,6
YYZ,"Toronto, Canada",IAG,7
STX,"Christiansted, VI",EIS,9
CXH,"Vancouver, Canada",FRD,9
STX,"Christiansted, VI",EIS,4
STX,"Christiansted, VI",EIS,10
FRD,"Friday Harbor, WA",ZNA,8
RSJ,"Rosario, WA",ZNA,9
FLL,"Fort Lauderdale, FL",BIM,1
BIM,"Bimini, The Bahamas",FLL,4
FLL,"Fort Lauderdale, FL",BIM,2
FLL,"Fort Lauderdale, FL",BIM,4
BIM,"Bimini, The Bahamas",FLL,3
BIM,"Bimini, The Bahamas",FLL,1
BIM,"Bimini, The Bahamas",FLL,2
FLL,"Fort Lauderdale, FL",BIM,3
BIM,"Bimini, The Bahamas",FLL,5
FLL,"Fort Lauderdale, FL",BIM,5
BIM,"Bimini, The Bahamas",FLL,6
