ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
GCN,"Grand Canyon, AZ",GCN,10
BLD,"Boulder City, NV",BLD,10
PGA,"Page, AZ",PGA,10
1G4,"Peach Springs, AZ",1G4,10
ANC,"Anchorage, AK",ANC,1
BOS,"Boston, MA",BOS,1
FAI,"Fairbanks, AK",FAI,1
MLY,"Manley Hot Springs, AK",MLY,1
SCC,"Deadhorse, AK",SCC,1
BET,"Bethel, AK",BET,1
OME,"Nome, AK",OME,1
HOM,"Homer, AK",HOM,1
JNU,"Juneau, AK",JNU,1
SIT,"Sitka, AK",SIT,1
MTM,"Metlakatla, AK",MTM,1
ILI,"Iliamna, AK",ILI,1
BNA,"Nashville, TN",BNA,1
ADS,"Dallas, TX",ADS,1
AKI,"Akiak, AK",AKI,1
MLL,"Marshall, AK",MLL,1
WWT,"Newtok, AK",WWT,1
ATL,"Atlanta, GA",ATL,1
VGT,"Las Vegas, NV",VGT,1
LEX,"Lexington, KY",LEX,1
DTW,"Detroit, MI",DTW,1
CVG,"Cincinnati, OH",CVG,1
MIA,"Miami, FL",MIA,1
MSP,"Minneapolis, MN",MSP,1
ORD,"Chicago, IL",ORD,1
SLC,"Salt Lake City, UT",SLC,1
TOL,"Toledo, OH",TOL,1
LAX,"Los Angeles, CA",LAX,1
SDF,"Louisville, KY",SDF,1
CMH,"Columbus, OH",CMH,1
SYR,"Syracuse, NY",SYR,1
BLD,"Boulder City, NV",BLD,1
GCN,"Grand Canyon, AZ",GCN,1
MRI,"Anchorage, AK",MRI,1
SCF,"Phoenix, AZ",SCF,2
ADQ,"Kodiak, AK",ADQ,2
FAI,"Fairbanks, AK",FAI,2
FYU,"Fort Yukon, AK",FYU,2
MNT,"Minto, AK",MNT,2
ANI,"Aniak, AK",ANI,2
BET,"Bethel, AK",BET,2
OME,"Nome, AK",OME,2
OTZ,"Kotzebue, AK",OTZ,2
TLA,"Teller, AK",TLA,2
JNU,"Juneau, AK",JNU,2
ANC,"Anchorage, AK",ANC,2
DLG,"Dillingham, AK",DLG,2
BOS,"Boston, MA",BOS,2
CDB,"Cold Bay, AK",CDB,2
BLI,"Bellingham, WA",BLI,1
ENA,"Kenai, AK",ENA,1
SBA,"Santa Barbara, CA",SBA,1
SHV,"Shreveport, LA",SHV,1
LKE,"Seattle, WA",LKE,1
1G4,"Peach Springs, AZ",1G4,2
VGT,"Las Vegas, NV",VGT,2
HOM,"Homer, AK",HOM,2
KWN,"Quinhagak, AK",KWN,2
OOK,"Toksook, AK",OOK,2
UTO,"Utopia, AK",UTO,2
MIA,"Miami, FL",MIA,2
