ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
SIT,"Sitka, AK",SIT,3
GLV,"Golovin, AK",GLV,1
KVL,"Kivalina, AK",KVL,1
OME,"Nome, AK",OME,1
OTZ,"Kotzebue, AK",OTZ,1
WLK,"Selawik, AK",WLK,1
WTK,"Noatak, AK",WTK,1
HOM,"Homer, AK",HOM,3
SOV,"Seldovia, AK",SOV,3
ANI,"Aniak, AK",ANI,3
SCC,"Deadhorse, AK",SCC,3
BET,"Bethel, AK",BET,3
DUT,"Unalaska, AK",DUT,3
EGX,"Egegik, AK",EGX,3
EMK,"Emmonak, AK",EMK,3
OXC,"Waterbury, CT",OXC,5
AIA,"Alliance, NE",AIA,5
CEZ,"Cortez, CO",CEZ,5
CNM,"Carlsbad, NM",CNM,5
PHX,"Phoenix, AZ",PHX,5
A43,"Kodiak Island, AK",A43,1
ADQ,"Kodiak, AK",ADQ,2
ORI,"Port Lions, AK",ORI,3
NKI,"Naukiti, AK",NKI,5
WFB,"Ketchikan, AK",WFB,5
ANC,"Anchorage, AK",ANC,6
BOS,"Boston, MA",BOS,6
DEN,"Denver, CO",DEN,6
PBG,"Plattsburgh, NY",PBG,6
PQI,"Presque Isle/Houlton, ME",PQI,6
1G4,"Peach Springs, AZ",1G4,6
BLD,"Boulder City, NV",BLD,6
GCN,"Grand Canyon, AZ",GCN,6
PGA,"Page, AZ",PGA,6
UXR,"Monument Valley, UT",UXR,6
HOM,"Homer, AK",HOM,7
A43,"Kodiak Island, AK",A43,7
ADQ,"Kodiak, AK",ADQ,7
WFB,"Ketchikan, AK",WFB,7
CXF,"Coldfoot, AK",CXF,7
FAI,"Fairbanks, AK",FAI,7
OME,"Nome, AK",OME,7
OTZ,"Kotzebue, AK",OTZ,7
SMK,"St. Michael, AK",SMK,7
HNH,"Hoonah, AK",HNH,7
HNS,"Haines, AK",HNS,7
JNU,"Juneau, AK",JNU,7
SGY,"Skagway, AK",SGY,7
ANC,"Anchorage, AK",ANC,7
DEN,"Denver, CO",DEN,7
PBG,"Plattsburgh, NY",PBG,7
GST,"Gustavus, AK",GST,7
MIA,"Miami, FL",MIA,1
MIA,"Miami, FL",MIA,2
MIA,"Miami, FL",MIA,3
MIA,"Miami, FL",MIA,4
MIA,"Miami, FL",MIA,6
BET,"Bethel, AK",BET,7
CDB,"Cold Bay, AK",CDB,7
SDP,"Sandpoint, AK",SDP,7
ACK,"Nantucket, MA",ACK,7
PVD,"Providence, RI",PVD,7
LAS,"Las Vegas, NV",LAS,7
SIT,"Sitka, AK",SIT,7
RBH,"Brooks Lodge, AK",RBH,7
