ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
RCE,"Roche Harbor, WA",YBW,7
YWH,"Victoria, Canada",RCE,9
YWH,"Victoria, Canada",RCE,6
FBS,"Friday Harbor, WA",YWH,8
YWH,"Victoria, Canada",FBS,3
YWH,"Victoria, Canada",FBS,9
FBS,"Friday Harbor, WA",YWH,4
FBS,"Friday Harbor, WA",YWH,9
FBS,"Friday Harbor, WA",YWH,3
YWH,"Victoria, Canada",FBS,7
YQG,"Windsor, Canada",DTW,8
DTW,"Detroit, MI",YQG,11
YQG,"Windsor, Canada",DTW,10
YGG,"Ganges Harbor, Canada",RCE,6
STT,"Charlotte Amalie, VI",EIS,6
RSJ,"Rosario, WA",YWH,8
STT,"Charlotte Amalie, VI",EIS,11
RSJ,"Rosario, WA",YWH,7
STT,"Charlotte Amalie, VI",EIS,10
STT,"Charlotte Amalie, VI",EIS,2
WSX,"Westsound, WA",YWH,11
YIP,"Detroit, MI",YQG,3
YQG,"Windsor, Canada",YIP,6
YIP,"Detroit, MI",YQG,1
YQG,"Windsor, Canada",YIP,1
YQG,"Windsor, Canada",YIP,2
YIP,"Detroit, MI",YQG,9
YQG,"Windsor, Canada",YIP,9
YQG,"Windsor, Canada",YIP,8
YQG,"Windsor, Canada",YIP,12
YIP,"Detroit, MI",YQG,5
YQG,"Windsor, Canada",YIP,5
YQG,"Windsor, Canada",YIP,10
STT,"Charlotte Amalie, VI",VIJ,3
STT,"Charlotte Amalie, VI",VIJ,4
STT,"Charlotte Amalie, VI",VIJ,5
STT,"Charlotte Amalie, VI",VIJ,10
STT,"Charlotte Amalie, VI",VIJ,6
STT,"Charlotte Amalie, VI",VIJ,1
STT,"Charlotte Amalie, VI",VIJ,12
STT,"Charlotte Amalie, VI",VIJ,8
STT,"Charlotte Amalie, VI",VIJ,2
CLM,"Port Angeles, WA",YYJ,11
STT,"Charlotte Amalie, VI",VIJ,7
YVR,"Vancouver, Canada",BLI,6
RCE,"Roche Harbor, WA",YVR,10
