ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
UNK,"Unalakleet, AK",UNK,6
KSM,"St. Mary's, AK",KSM,6
KWT,"Kwethluk, AK",KWT,8
UNK,"Unalakleet, AK",UNK,8
BTT,"Bettles, AK",BTT,8
EMK,"Emmonak, AK",EMK,6
MCG,"McGrath, AK",MCG,6
BET,"Bethel, AK",BET,8
ENA,"Kenai, AK",ENA,8
BLD,"Boulder City, NV",BLD,6
GCN,"Grand Canyon, AZ",GCN,9
CDB,"Cold Bay, AK",CDB,2
RCE,"Roche Harbor, WA",RCE,5
JNU,"Juneau, AK",JNU,4
IAD,"Washington, DC",IAD,2
BET,"Bethel, AK",BET,4
LKE,"Seattle, WA",LKE,4
PHL,"Philadelphia, PA",PHL,5
DAY,"Dayton, OH",DAY,6
HNS,"Haines, AK",HNS,8
FLL,"Fort Lauderdale, FL",FLL,9
ENA,"Kenai, AK",ENA,2
OMK,"Omak, WA",OMK,4
BUF,"Buffalo, NY",BUF,10
PGA,"Page, AZ",PGA,5
ATL,"Atlanta, GA",ATL,9
MVW,"Burlington/Mount Vernon, WA",MVW,1
ADQ,"Kodiak, AK",ADQ,11
DAY,"Dayton, OH",DAY,11
SNP,"St. Paul, AK",SNP,3
IAH,"Houston, TX",IAH,11
TAL,"Tanana, AK",TAL,5
KWN,"Quinhagak, AK",KWN,6
DUT,"Unalaska, AK",DUT,7
CDB,"Cold Bay, AK",CDB,1
KLL,"Levelock, AK",KLL,2
FAI,"Fairbanks, AK",FAI,3
DUT,"Unalaska, AK",DUT,4
NKT,"Cherry Point, NC",NKT,1
OME,"Nome, AK",OME,2
FRD,"Friday Harbor, WA",FRD,11
JNU,"Juneau, AK",JNU,11
VGT,"Las Vegas, NV",VGT,4
LPS,"Lopez Island, WA",LPS,4
RSW,"Fort Myers, FL",RSW,5
WTL,"Tuntutuliak, AK",WTL,11
KSM,"St. Mary's, AK",KSM,11
OTZ,"Kotzebue, AK",OTZ,6
MSY,"New Orleans, LA",MSY,12
CLT,"Charlotte, NC",CLT,6
RIC,"Richmond, VA",RIC,1
FAI,"Fairbanks, AK",FAI,7
LPS,"Lopez Island, WA",LPS,8
CDB,"Cold Bay, AK",CDB,9
LPS,"Lopez Island, WA",LPS,1
OPF,"Miami, FL",OPF,4
ORD,"Chicago, IL",ORD,5
BRW,"Barrow, AK",BRW,9
