ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
ANC,"Anchorage, AK",ANC,1
ANI,"Aniak, AK",ANI,1
BET,"Bethel, AK",BET,1
BKC,"Buckland, AK",BKC,1
BWI,"Baltimore, MD",BWI,1
CLT,"Charlotte, NC",CLT,1
DEN,"Denver, CO",DEN,1
DFW,"Dallas/Fort Worth, TX",DFW,1
DRG,"Deering, AK",DRG,1
FAI,"Fairbanks, AK",FAI,1
FLL,"Fort Lauderdale, FL",FLL,1
GYY,"Gary, IN",GYY,1
HNS,"Haines, AK",HNS,1
HOM,"Homer, AK",HOM,1
HPN,"White Plains, NY",HPN,1
IAN,"Kiana, AK",IAN,1
INT,"Winston-Salem, NC",INT,1
MIA,"Miami, FL",MIA,1
UNK,"Unalakleet, AK",UNK,1
WFB,"Ketchikan, AK",WFB,1
WLK,"Selawik, AK",WLK,1
SFB,"Sanford, FL",SFB,1
ORD,"Chicago, IL",ORD,1
OTZ,"Kotzebue, AK",OTZ,1
PIE,"St. Petersburg, FL",PIE,1
PSM,"Portsmouth, NH",PSM,1
NUI,"Nuiqsut, AK",NUI,1
OME,"Nome, AK",OME,1
BET,"Bethel, AK",AKP,2
BET,"Bethel, AK",BET,2
BET,"Bethel, AK",CYF,2
BET,"Bethel, AK",KKH,2
BET,"Bethel, AK",KPN,2
BET,"Bethel, AK",NME,2
BET,"Bethel, AK",WWT,2
BGR,"Bangor, ME",BGR,2
BRW,"Barrow, AK",AIN,2
BRW,"Barrow, AK",BRW,2
BRW,"Barrow, AK",NUI,2
BTI,"Barter Island, AK",NUI,2
CYF,"Chefornak, AK",AKP,2
CYF,"Chefornak, AK",KPN,2
CYF,"Chefornak, AK",NME,2
ADS,"Dallas, TX",ADS,2
AIN,"Wainwright, AK",ATK,2
AIN,"Wainwright, AK",BRW,2
AIN,"Wainwright, AK",PIZ,2
AKP,"Anaktuvuk Pass, AK",KKH,2
ANC,"Anchorage, AK",ANC,2
ANI,"Aniak, AK",ANI,2
KKH,"Kongiganak, AK",AKP,2
KKH,"Kongiganak, AK",WTL,2
KPN,"Kipnuk, AK",AKP,2
KPN,"Kipnuk, AK",CYF,2
KPN,"Kipnuk, AK",EEK,2
KPN,"Kipnuk, AK",KKH,2
MIA,"Miami, FL",MIA,2
OTZ,"Kotzebue, AK",OTZ,2
PIE,"St. Petersburg, FL",PIE,2
PIZ,"Point Lay, AK",AIN,2
PSM,"Portsmouth, NH",PSM,2
NME,"Nightmute, AK",OOK,2
NUI,"Nuiqsut, AK",BRW,2
NUI,"Nuiqsut, AK",FAI,2
NUI,"Nuiqsut, AK",NUI,2
NUI,"Nuiqsut, AK",SCC,2
OME,"Nome, AK",OME,2
HCB,"Shoal Cove, AK",KTN,2
HCB,"Shoal Cove, AK",WFB,2
DLG,"Dillingham, AK",DLG,2
