ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
YBS,"Opapimiskan Lake, Canada",FLL,5
LAX,"Los Angeles, CA",OHA,2
FLL,"Fort Lauderdale, FL",YBS,5
TIJ,"Tijuana, Mexico",SAN,11
TIJ,"Tijuana, Mexico",SAN,9
YQG,"Windsor, Canada",DTW,10
YIP,"Detroit, MI",YQG,8
YQG,"Windsor, Canada",YIP,7
YQG,"Windsor, Canada",YIP,6
YQG,"Windsor, Canada",YIP,8
STT,"Charlotte Amalie, VI",EIS,5
CLM,"Port Angeles, WA",YYJ,4
YYJ,"Victoria, Canada",CLM,2
CLM,"Port Angeles, WA",YYJ,2
CLM,"Port Angeles, WA",YYJ,6
YYJ,"Victoria, Canada",CLM,1
CLM,"Port Angeles, WA",YYJ,5
CLM,"Port Angeles, WA",YYJ,3
CLM,"Port Angeles, WA",YYJ,8
CLM,"Port Angeles, WA",YYJ,1
YYJ,"Victoria, Canada",CLM,3
YVR,"Vancouver, Canada",BLI,8
YVR,"Vancouver, Canada",BLI,1
YVR,"Vancouver, Canada",BLI,7
YYJ,"Victoria, Canada",BLI,2
YYJ,"Victoria, Canada",BLI,1
YYJ,"Victoria, Canada",BLI,3
BLI,"Bellingham, WA",YYJ,10
YHM,"Hamilton, Canada",BUF,10
YHM,"Hamilton, Canada",BUF,1
BUF,"Buffalo, NY",YHM,10
BUF,"Buffalo, NY",YHM,12
BUF,"Buffalo, NY",YYZ,11
BUF,"Buffalo, NY",YYZ,7
YYZ,"Toronto, Canada",BUF,2
BUF,"Buffalo, NY",YYZ,12
YYZ,"Toronto, Canada",BUF,6
YYZ,"Toronto, Canada",BUF,3
YYZ,"Toronto, Canada",BUF,9
BUF,"Buffalo, NY",YYZ,2
YYZ,"Toronto, Canada",BUF,10
YYZ,"Toronto, Canada",BUF,4
YYZ,"Toronto, Canada",BUF,12
BUF,"Buffalo, NY",YYZ,1
BUF,"Buffalo, NY",YYZ,3
YYZ,"Toronto, Canada",BUF,5
PHN,"Port Huron, MI",YXU,11
YDA,"Dawson City, Canada",EAA,9
EAA,"Eagle, AK",YDA,9
EAA,"Eagle, AK",YDA,7
YDA,"Dawson City, Canada",EAA,6
EAA,"Eagle, AK",YDA,6
YDA,"Dawson City, Canada",EAA,7
FPO,"Freeport, The Bahamas",PBI,1
FPO,"Freeport, The Bahamas",PBI,2
PBI,"West Palm Beach/Palm Beach, FL",FPO,1
PBI,"West Palm Beach/Palm Beach, FL",FPO,2
FPO,"Freeport, The Bahamas",PBI,3
PBI,"West Palm Beach/Palm Beach, FL",FPO,3
FPO,"Freeport, The Bahamas",PBI,4
PBI,"West Palm Beach/Palm Beach, FL",FPO,4
FPO,"Freeport, The Bahamas",PBI,5
PBI,"West Palm Beach/Palm Beach, FL",FPO,5
FPO,"Freeport, The Bahamas",PBI,6
FPO,"Freeport, The Bahamas",PBI,7
PBI,"West Palm Beach/Palm Beach, FL",FPO,6
PBI,"West Palm Beach/Palm Beach, FL",FPO,7
FPO,"Freeport, The Bahamas",PBI,8
PBI,"West Palm Beach/Palm Beach, FL",FPO,8
FPO,"Freeport, The Bahamas",PBI,9
PBI,"West Palm Beach/Palm Beach, FL",FPO,9
PBI,"West Palm Beach/Palm Beach, FL",FPO,10
FPO,"Freeport, The Bahamas",PBI,10
FPO,"Freeport, The Bahamas",PBI,11
PBI,"West Palm Beach/Palm Beach, FL",FPO,11
FPO,"Freeport, The Bahamas",PBI,12
PBI,"West Palm Beach/Palm Beach, FL",FPO,12
YKF,"Kitchener, Canada",BUF,9
BUF,"Buffalo, NY",YKF,9
YKF,"Kitchener, Canada",BUF,7
YPQ,"Peterborough, Canada",BUF,4
YPQ,"Peterborough, Canada",BUF,6
YPQ,"Peterborough, Canada",BUF,7
BUF,"Buffalo, NY",YPQ,10
EIS,"Road Town, British Virgin Islands",SJU,1
FLL,"Fort Lauderdale, FL",FPO,1
FPO,"Freeport, The Bahamas",FLL,1
SJU,"San Juan, PR",EIS,1
EIS,"Road Town, British Virgin Islands",SJU,2
FLL,"Fort Lauderdale, FL",FPO,2
FPO,"Freeport, The Bahamas",FLL,2
SJU,"San Juan, PR",EIS,2
EIS,"Road Town, British Virgin Islands",SJU,3
FLL,"Fort Lauderdale, FL",FPO,3
FPO,"Freeport, The Bahamas",FLL,3
SJU,"San Juan, PR",EIS,3
EIS,"Road Town, British Virgin Islands",SJU,4
FLL,"Fort Lauderdale, FL",FPO,4
FPO,"Freeport, The Bahamas",FLL,4
SJU,"San Juan, PR",EIS,4
EIS,"Road Town, British Virgin Islands",SJU,5
FLL,"Fort Lauderdale, FL",FPO,5
FPO,"Freeport, The Bahamas",FLL,5
SJU,"San Juan, PR",EIS,5
SJU,"San Juan, PR",EIS,6
EIS,"Road Town, British Virgin Islands",SJU,6
FLL,"Fort Lauderdale, FL",FPO,6
FPO,"Freeport, The Bahamas",FLL,6
EIS,"Road Town, British Virgin Islands",SJU,7
FLL,"Fort Lauderdale, FL",FPO,7
FPO,"Freeport, The Bahamas",FLL,7
SJU,"San Juan, PR",EIS,7
EIS,"Road Town, British Virgin Islands",SJU,8
FLL,"Fort Lauderdale, FL",FPO,8
FPO,"Freeport, The Bahamas",FLL,8
EIS,"Road Town, British Virgin Islands",SJU,9
SJU,"San Juan, PR",EIS,8
FLL,"Fort Lauderdale, FL",FPO,9
FPO,"Freeport, The Bahamas",FLL,9
SJU,"San Juan, PR",EIS,9
EIS,"Road Town, British Virgin Islands",SJU,10
SJU,"San Juan, PR",EIS,10
FLL,"Fort Lauderdale, FL",FPO,10
FPO,"Freeport, The Bahamas",FLL,10
EIS,"Road Town, British Virgin Islands",SJU,11
FLL,"Fort Lauderdale, FL",FPO,11
FPO,"Freeport, The Bahamas",FLL,11
SJU,"San Juan, PR",EIS,11
SJU,"San Juan, PR",EIS,12
EIS,"Road Town, British Virgin Islands",SJU,12
FLL,"Fort Lauderdale, FL",FPO,12
FPO,"Freeport, The Bahamas",FLL,12
SEA,"Seattle, WA",YYJ,1
YYJ,"Victoria, Canada",SEA,1
PAE,"Everett, WA",YVR,1
SEA,"Seattle, WA",YYJ,2
YYJ,"Victoria, Canada",SEA,3
YYJ,"Victoria, Canada",SEA,2
SEA,"Seattle, WA",YYJ,3
SEA,"Seattle, WA",YYJ,4
YYJ,"Victoria, Canada",SEA,4
SEA,"Seattle, WA",YYJ,5
YYJ,"Victoria, Canada",SEA,5
SEA,"Seattle, WA",YYJ,6
YYJ,"Victoria, Canada",SEA,6
YYJ,"Victoria, Canada",SEA,7
SEA,"Seattle, WA",YYJ,7
SEA,"Seattle, WA",YYJ,8
YYJ,"Victoria, Canada",SEA,8
SEA,"Seattle, WA",YYJ,9
YYJ,"Victoria, Canada",SEA,9
SEA,"Seattle, WA",YYJ,10
YYJ,"Victoria, Canada",SEA,10
SEA,"Seattle, WA",YYJ,11
YYJ,"Victoria, Canada",SEA,11
SEA,"Seattle, WA",YYJ,12
YYJ,"Victoria, Canada",SEA,12
YYZ,"Toronto, Canada",ROC,8
ROC,"Rochester, NY",YYZ,2
ROC,"Rochester, NY",YYZ,8
