ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
YSN,"Salmon Arm, Canada",YIP,4
DAY,"Dayton, OH",YSN,4
DAY,"Dayton, OH",YCM,5
CBF,"Council Bluffs, IA",BSB,6
GMC,"Guerima, Colombia",MIA,2
YCM,"St. Catharines, Canada",DET,5
NLD,"Nuevo Laredo, Mexico",LRD,11
YQG,"Windsor, Canada",DTW,6
BUF,"Buffalo, NY",YCM,5
YIP,"Detroit, MI",YQG,10
YQG,"Windsor, Canada",YIP,9
YIP,"Detroit, MI",YQG,6
YQG,"Windsor, Canada",YIP,10
YQG,"Windsor, Canada",YIP,11
STT,"Charlotte Amalie, VI",EIS,2
STT,"Charlotte Amalie, VI",EIS,3
YQG,"Windsor, Canada",YIP,7
CLM,"Port Angeles, WA",YYJ,1
YYJ,"Victoria, Canada",CLM,1
CLM,"Port Angeles, WA",YYJ,2
CLM,"Port Angeles, WA",YYJ,3
YYJ,"Victoria, Canada",CLM,2
YYJ,"Victoria, Canada",CLM,3
CLM,"Port Angeles, WA",YYJ,4
YYJ,"Victoria, Canada",CLM,4
CLM,"Port Angeles, WA",YYJ,5
YYJ,"Victoria, Canada",CLM,5
CLM,"Port Angeles, WA",YYJ,6
YYJ,"Victoria, Canada",CLM,6
YYJ,"Victoria, Canada",CLM,7
CLM,"Port Angeles, WA",YYJ,7
CLM,"Port Angeles, WA",YYJ,8
YYJ,"Victoria, Canada",CLM,8
CLM,"Port Angeles, WA",YYJ,9
CLM,"Port Angeles, WA",YYJ,10
YYJ,"Victoria, Canada",CLM,9
YYJ,"Victoria, Canada",CLM,10
CLM,"Port Angeles, WA",YYJ,11
YYJ,"Victoria, Canada",CLM,11
CLM,"Port Angeles, WA",YYJ,12
YYJ,"Victoria, Canada",CLM,12
YVR,"Vancouver, Canada",BLI,12
YYJ,"Victoria, Canada",BLI,11
YYJ,"Victoria, Canada",BLI,9
YYJ,"Victoria, Canada",BLI,5
YYJ,"Victoria, Canada",BLI,6
YYJ,"Victoria, Canada",BLI,8
YYJ,"Victoria, Canada",BLI,4
YYJ,"Victoria, Canada",BLI,10
YYJ,"Victoria, Canada",BLI,2
YYJ,"Victoria, Canada",BLI,12
YYJ,"Victoria, Canada",BLI,1
BLI,"Bellingham, WA",YYJ,2
YYJ,"Victoria, Canada",BLI,3
YYJ,"Victoria, Canada",BLI,7
YQG,"Windsor, Canada",PHN,6
IAG,"Niagara Falls, NY",YYZ,3
IAG,"Niagara Falls, NY",YYZ,7
YHM,"Hamilton, Canada",BUF,11
BUF,"Buffalo, NY",YHM,4
YHM,"Hamilton, Canada",BUF,4
BUF,"Buffalo, NY",YYZ,2
YYZ,"Toronto, Canada",BUF,2
YYZ,"Toronto, Canada",BUF,4
BUF,"Buffalo, NY",YYZ,5
YYZ,"Toronto, Canada",BUF,5
YYZ,"Toronto, Canada",BUF,6
BUF,"Buffalo, NY",YYZ,7
YYZ,"Toronto, Canada",BUF,7
YYZ,"Toronto, Canada",BUF,8
BUF,"Buffalo, NY",YYZ,10
YYZ,"Toronto, Canada",BUF,10
BUF,"Buffalo, NY",YYZ,11
YYZ,"Toronto, Canada",BUF,11
BUF,"Buffalo, NY",YYZ,12
YUL,"Montreal, Canada",BTV,11
