ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
ANC,"Anchorage, AK",ANC,1
ATW,"Appleton, WI",ATW,1
CDB,"Cold Bay, AK",CDB,1
SFO,"San Francisco, CA",SFO,1
ATW,"Appleton, WI",ATW,2
IND,"Indianapolis, IN",IND,1
STX,"Christiansted, VI",STX,2
JFK,"New York, NY",JFK,3
ROC,"Rochester, NY",ROC,5
DAY,"Dayton, OH",DAY,7
SFO,"San Francisco, CA",SFO,7
HNL,"Honolulu, HI",HNL,7
ORD,"Chicago, IL",ORD,8
ANC,"Anchorage, AK",ANC,9
GUM,"Guam, TT",GUM,9
JFK,"New York, NY",JFK,10
ORD,"Chicago, IL",ORD,10
MCO,"Orlando, FL",MCO,10
MIA,"Miami, FL",MIA,12
KKH,"Kongiganak, AK",KWK,11
KKH,"Kongiganak, AK",KWK,10
KWK,"Kwigillingok, AK",KKH,10
KWK,"Kwigillingok, AK",KKH,11
BFI,"Seattle, WA",SEA,1
BFI,"Seattle, WA",SEA,2
ORF,"Norfolk, VA",NGU,2
BFI,"Seattle, WA",SEA,4
BFI,"Seattle, WA",SEA,7
BFI,"Seattle, WA",SEA,8
BFI,"Seattle, WA",SEA,9
BET,"Bethel, AK",PKA,10
PKA,"Napaskiak, AK",BET,10
BET,"Bethel, AK",PKA,11
PKA,"Napaskiak, AK",BET,11
BFI,"Seattle, WA",SEA,12
AKI,"Akiak, AK",KKI,10
AKI,"Akiak, AK",KKI,11
KKI,"Akiachak, AK",AKI,10
KKI,"Akiachak, AK",KWT,10
KKI,"Akiachak, AK",AKI,11
KKI,"Akiachak, AK",KWT,11
KWT,"Kwethluk, AK",KKI,11
KWT,"Kwethluk, AK",AKI,10
AKI,"Akiak, AK",KWT,10
AKI,"Akiak, AK",KWT,11
KWT,"Kwethluk, AK",AKI,11
OAK,"Oakland, CA",SFO,1
SPN,"Saipan, TT",TIQ,1
TIQ,"Tinian, TT",SPN,1
JFK,"New York, NY",LGA,1
LGA,"New York, NY",JFK,1
JFK,"New York, NY",LGA,2
SFO,"San Francisco, CA",OAK,2
OAK,"Oakland, CA",SFO,2
SPN,"Saipan, TT",TIQ,2
TIQ,"Tinian, TT",SPN,2
OAK,"Oakland, CA",SFO,3
LGA,"New York, NY",JFK,3
JFK,"New York, NY",LGA,4
LGA,"New York, NY",JFK,4
TIQ,"Tinian, TT",SPN,4
SFO,"San Francisco, CA",OAK,4
SPN,"Saipan, TT",TIQ,4
SPN,"Saipan, TT",TIQ,3
TIQ,"Tinian, TT",SPN,3
OAK,"Oakland, CA",SFO,5
JFK,"New York, NY",LGA,5
LGA,"New York, NY",JFK,5
OAK,"Oakland, CA",SFO,4
SPN,"Saipan, TT",TIQ,5
TIQ,"Tinian, TT",SPN,5
JFK,"New York, NY",LGA,6
OAK,"Oakland, CA",SFO,6
SFO,"San Francisco, CA",OAK,6
SPN,"Saipan, TT",TIQ,6
TIQ,"Tinian, TT",SPN,6
OAK,"Oakland, CA",SFO,7
TIQ,"Tinian, TT",SPN,7
SFO,"San Francisco, CA",OAK,7
SPN,"Saipan, TT",TIQ,7
OAK,"Oakland, CA",SFO,8
JFK,"New York, NY",LGA,8
LGA,"New York, NY",JFK,8
SPN,"Saipan, TT",TIQ,8
TIQ,"Tinian, TT",SPN,8
OAK,"Oakland, CA",SFO,9
SFO,"San Francisco, CA",OAK,8
BET,"Bethel, AK",WNA,10
SFO,"San Francisco, CA",OAK,9
SPN,"Saipan, TT",TIQ,9
TIQ,"Tinian, TT",SPN,9
LGA,"New York, NY",JFK,9
JFK,"New York, NY",LGA,10
OAK,"Oakland, CA",SFO,10
SPN,"Saipan, TT",TIQ,10
TIQ,"Tinian, TT",SPN,10
LGA,"New York, NY",JFK,10
SFO,"San Francisco, CA",OAK,10
BET,"Bethel, AK",WNA,11
SFO,"San Francisco, CA",OAK,11
SPN,"Saipan, TT",TIQ,11
TIQ,"Tinian, TT",SPN,11
WNA,"Napakiak, AK",BET,11
OAK,"Oakland, CA",SFO,12
SPN,"Saipan, TT",TIQ,12
TIQ,"Tinian, TT",SPN,12
SFO,"San Francisco, CA",OAK,12
OAK,"Oakland, CA",SFO,11
LGA,"New York, NY",JFK,12
DAL,"Dallas, TX",DFW,5
PKA,"Napaskiak, AK",WNA,10
WNA,"Napakiak, AK",PKA,11
PKA,"Napaskiak, AK",WNA,11
PKA,"Napaskiak, AK",KWT,11
BET,"Bethel, AK",KWT,11
LAS,"Las Vegas, NV",LSV,3
LSV,"Las Vegas, NV",LAS,3
KWT,"Kwethluk, AK",BET,10
LAS,"Las Vegas, NV",LSV,1
KWT,"Kwethluk, AK",BET,11
LAS,"Las Vegas, NV",LSV,2
LSV,"Las Vegas, NV",LAS,1
LSV,"Las Vegas, NV",LAS,2
BET,"Bethel, AK",KWT,10
PHX,"Phoenix, AZ",SCF,2
OGG,"Kahului, HI",JHM,2
MDW,"Chicago, IL",ORD,5
ORD,"Chicago, IL",MDW,4
JHM,"Kapalua, HI",OGG,6
OGG,"Kahului, HI",JHM,7
MDW,"Chicago, IL",ORD,8
OGG,"Kahului, HI",JHM,9
AKI,"Akiak, AK",TLT,10
BET,"Bethel, AK",KKI,10
TLT,"Tuluksak, AK",AKI,10
AKI,"Akiak, AK",TLT,11
BET,"Bethel, AK",KKI,11
KKI,"Akiachak, AK",BET,11
TLT,"Tuluksak, AK",AKI,11
LGB,"Long Beach, CA",LAX,1
LAX,"Los Angeles, CA",LGB,1
LGA,"New York, NY",EWR,1
LAX,"Los Angeles, CA",LGB,2
LGA,"New York, NY",EWR,2
LGB,"Long Beach, CA",LAX,2
EWR,"Newark, NJ",LGA,2
EWR,"Newark, NJ",LGA,1
LGA,"New York, NY",EWR,3
LGB,"Long Beach, CA",LAX,3
EWR,"Newark, NJ",LGA,4
LGA,"New York, NY",EWR,4
LAX,"Los Angeles, CA",LGB,5
EWR,"Newark, NJ",LGA,5
LGA,"New York, NY",EWR,6
EWR,"Newark, NJ",LGA,6
LGA,"New York, NY",EWR,7
EWR,"Newark, NJ",LGA,7
LAX,"Los Angeles, CA",LGB,8
LGA,"New York, NY",EWR,8
EWR,"Newark, NJ",LGA,8
