ORIGIN,ORIGIN_CITY_NAME,DEST,MONTH
CJS,"Ciudad Juarez, Mexico",ELP,2
ELP,"El Paso, TX",CJS,2
CJS,"Ciudad Juarez, Mexico",ELP,3
ELP,"El Paso, TX",CJS,3
ELP,"El Paso, TX",CJS,4
CJS,"Ciudad Juarez, Mexico",ELP,4
CJS,"Ciudad Juarez, Mexico",ELP,5
CJS,"Ciudad Juarez, Mexico",ELP,6
ELP,"El Paso, TX",CJS,6
CJS,"Ciudad Juarez, Mexico",ELP,8
ELP,"El Paso, TX",CJS,9
CJS,"Ciudad Juarez, Mexico",ELP,9
CJS,"Ciudad Juarez, Mexico",ELP,10
CJS,"Ciudad Juarez, Mexico",ELP,12
SAN,"San Diego, CA",TIJ,12
EIS,"Road Town, British Virgin Islands",STT,1
YIP,"Detroit, MI",YQG,1
YQG,"Windsor, Canada",YIP,1
YIP,"Detroit, MI",YQG,2
YQG,"Windsor, Canada",YIP,2
YIP,"Detroit, MI",YQG,3
YQG,"Windsor, Canada",YIP,3
YIP,"Detroit, MI",YQG,4
YQG,"Windsor, Canada",YIP,4
STT,"Charlotte Amalie, VI",EIS,5
YIP,"Detroit, MI",YQG,5
YQG,"Windsor, Canada",YIP,5
YIP,"Detroit, MI",YQG,6
YQG,"Windsor, Canada",YIP,6
YIP,"Detroit, MI",YQG,7
YQG,"Windsor, Canada",YIP,7
STT,"Charlotte Amalie, VI",EIS,8
YIP,"Detroit, MI",YQG,8
YQG,"Windsor, Canada",YIP,8
EIS,"Road Town, British Virgin Islands",STT,9
YIP,"Detroit, MI",YQG,10
YQG,"Windsor, Canada",YIP,10
YIP,"Detroit, MI",YQG,9
STT,"Charlotte Amalie, VI",EIS,12
YQG,"Windsor, Canada",YIP,12
YIP,"Detroit, MI",YQG,11
YQG,"Windsor, Canada",YIP,11
YVR,"Vancouver, Canada",BLI,9
IAG,"Niagara Falls, NY",YYZ,7
EIS,"Road Town, British Virgin Islands",STX,8
BUF,"Buffalo, NY",YHM,6
YHM,"Hamilton, Canada",BUF,11
BUF,"Buffalo, NY",YHM,7
YHM,"Hamilton, Canada",BUF,6
YHM,"Hamilton, Canada",BUF,9
BUF,"Buffalo, NY",YHM,8
BUF,"Buffalo, NY",YHM,2
YHM,"Hamilton, Canada",BUF,3
YHM,"Hamilton, Canada",BUF,5
YHM,"Hamilton, Canada",BUF,7
BUF,"Buffalo, NY",YYZ,5
YYZ,"Toronto, Canada",BUF,4
YYZ,"Toronto, Canada",BUF,5
